t_s,T_numeric_K,T_analytical_K
3746.636023391813,307.97238151627977,307.97238157573173
3758.128771929825,307.97403748512266,307.9740375411417
3769.6215204678365,307.97566874532504,307.9756687911122
3781.114269005848,307.9772756623441,307.97727569452366
3792.60701754386,307.97885859676154,307.9788586147506
3804.0997660818716,307.98041790447064,307.98041790974446
3815.5925146198833,307.981953936676,307.9819539321139
3827.085263157895,307.98346703989387,307.9834670292052
3838.5780116959068,307.9849575559518,307.98495754318014
3850.0707602339185,307.9864258219889,307.98642581109397
3861.56350877193,307.98787217045594,307.9878721649712
3873.0562573099414,307.9892969291149,307.98929693188086
3884.549005847953,307.99070042103943,307.9907004340105
3896.041754385965,307.99208296461455,307.9920829887389
3907.5345029239766,307.99344487353693,307.99344490870806
3919.0272514619883,307.9947864568145,307.99478650189366
3930.52,307.99610801876685,307.99610807167494
3942.0127485380117,307.99740985902497,307.997409916903
3953.5054970760234,307.9986922725314,307.99869233196864
3964.998245614035,307.99995555106517,307.9999556068689
3976.490994152047,308.0011999811939,308.0012000272726
3987.9837426900585,308.0024258413344,308.0024258745848
3999.4764912280702,308.0036334062796,308.00363342601065
4010.969239766082,308.00482294728255,308.00482295461796
4022.4619883040937,308.00599473205574,308.00599472939905
4033.9547368421054,308.00714902477193,308.0071490153314
4045.447485380117,308.00828608606344,308.00828607343766
4056.940233918129,308.0094061730226,308.0094061608449
4068.4329824561405,308.01050953920156,308.0105095308423
4079.925730994152,308.0115964346123,308.01159643293875
4091.418479532164,308.0126671057266,308.01266711291925
4102.911228070176,308.0137217954763,308.0137218129005
4114.403976608187,308.0147607432528,308.0147607713853
4125.896725146199,308.01578418490766,308.0157842233171
4137.38947368421,308.0167923527521,308.01679240013266
4148.8822222222225,308.0177854755572,308.0177855298145
4160.374970760234,308.018763778554,308.01876383694247
4171.867719298246,308.01972748343326,308.0197275427446
4183.360467836257,308.02067681007344,308.0206768651471
4194.853216374269,308.02161197322687,308.0216120188235
4206.345964912281,308.0225331818089,308.02253321524336
4217.838713450293,308.0234406421,308.02344066272013
4229.331461988304,308.0243345577483,308.024334566458
4240.824210526316,308.0252151297695,308.0252151285986
4252.316959064327,308.0260825565471,308.02608254826646
4263.80970760234,308.0269370338322,308.02693702161423
4275.302456140351,308.0277787547437,308.027778741867
4286.795204678363,308.02860790976797,308.0286078993659
4298.287953216374,308.0294246867591,308.0294246816112
4309.780701754386,308.03022927093906,308.0302292733047
4321.273450292398,308.03102184489717,308.0310218563916
4332.76619883041,308.03180258859066,308.0318026101014
